model,mode,L,R,n,median,tie,rho_clean
roberta,trunc,0,16,99997,7.887714862823486,0.08541256237687131,-0.13461591403901849
roberta,trunc,0,32,99997,7.339440822601318,0.09494284828544856,-0.12549677811473944
roberta,trunc,0,64,99997,7.136270999908447,0.10039301179035372,-0.1266854418576724
roberta,trunc,0,125,99997,7.195187091827393,0.10451313539406182,-0.13284052172975563
roberta,trunc,0,250,99997,7.267088413238525,0.10556316689500685,-0.13638145961890263
roberta,trunc,1,0,99997,9.388935089111328,1.000030000900027e-05,0.2292028435696172
roberta,trunc,1,1,99997,4.385676383972168,0.008620258607758233,0.18466962144425855
roberta,trunc,2,0,99997,8.291845321655273,6.000180005400162e-05,0.3501847511073216
roberta,trunc,2,2,99997,2.5894527435302734,0.03994119823594708,0.2804137044501511
roberta,trunc,4,0,99997,7.970216274261475,0.0002000060001800054,0.3547884964309389
roberta,trunc,4,4,99997,1.8040117025375366,0.10241307239217176,0.29673544993320455
roberta,trunc,8,0,99997,7.118468284606934,0.002660079802394072,0.4298392295780768
roberta,trunc,8,8,99997,0.8780938982963562,0.21731651949558486,0.321469824843152
roberta,trunc,16,0,99997,6.178088665008545,0.0026200786023580706,0.4788455862030668
roberta,trunc,16,1,99997,1.4094585180282593,0.11397341920257607,0.4381426944133463
roberta,trunc,16,2,99997,1.0335371494293213,0.16782503475104252,0.40262774124593986
roberta,trunc,16,4,99997,0.703079342842102,0.23462703881116434,0.3754424660186505
roberta,trunc,16,8,99997,0.4669099450111389,0.2938188145644369,0.3590924543571314
roberta,trunc,16,16,99997,0.317609965801239,0.33850015500465014,0.3516114703179119
roberta,trunc,16,32,99997,0.22501328587532043,0.37882136464093924,0.34808606581474827
roberta,trunc,16,64,99997,0.1734897345304489,0.4137224116723502,0.3467986137331776
roberta,trunc,32,0,99997,5.517672061920166,0.0031000930027900836,0.5093507127514503
roberta,trunc,32,2,99997,0.6631792783737183,0.21648649459483785,0.43724839297790796
roberta,trunc,32,8,99997,0.2792891263961792,0.34851045531365943,0.3771654056576118
roberta,trunc,32,32,99997,0.16319216787815094,0.4256627698830965,0.3601131619279602
roberta,trunc,64,0,99997,5.282012939453125,0.002410072302169065,0.4995657458810689
roberta,trunc,64,1,99997,0.8707194328308105,0.16962508875266258,0.4895218216423947
roberta,trunc,64,2,99997,0.5008277893066406,0.2518975569267078,0.43959095003959714
roberta,trunc,64,4,99997,0.29501450061798096,0.33230996929907897,0.39639697623325443
roberta,trunc,64,8,99997,0.20484620332717896,0.3883416502495075,0.3747680155845716
roberta,trunc,64,16,99997,0.15971606969833374,0.42729281878456354,0.3644757211148097
roberta,trunc,64,32,99997,0.13382230699062347,0.4550336510095303,0.3577642366765169
roberta,trunc,64,64,99997,0.11810299754142761,0.47314419432582977,0.3549920929506494
roberta,trunc,125,0,99997,5.3064727783203125,0.0018800564016920507,0.48490760654059073
roberta,trunc,125,125,99997,0.09401041269302368,0.5094552836585098,0.3496372410124234
roberta,trunc,250,0,99997,5.390031814575195,0.001740052201566047,0.47359240768345673
roberta,trunc,250,1,99997,0.8143410086631775,0.18628558856765703,0.4798675578742075
roberta,trunc,250,2,99997,0.3886340856552124,0.2894986849605488,0.434708458322356
roberta,trunc,250,4,99997,0.21176408231258392,0.3799813994419833,0.3897667976036171
roberta,trunc,250,8,99997,0.14195390045642853,0.44227326819804597,0.36829098393173176
roberta,trunc,250,16,99997,0.11226534843444824,0.481684450533516,0.36070025713216347
roberta,trunc,250,32,99997,0.09929036349058151,0.5011150334510035,0.3550018980696568
roberta,trunc,250,64,99997,0.09218104928731918,0.5123253697610929,0.3530037737732197
roberta,trunc,250,250,99997,0.08463995158672333,0.5256157684730542,0.3494633271252895
roberta,trunc,500,0,99997,5.943925857543945,0.001780053401602048,0.43113813714015625
